#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
9.100000 -4.322642 0.326439 0.152443 -4.324145 0.326195 0.151241 -4.324145 0.331186 0.151241 0.000000 0.000000 0.000000 -4.162497 0.332284 0.223064 -4.322642 0.331170 0.152443 0.000000 0.000000 0.000000 -4.297348 0.329575 0.170307 -4.298866 0.329640 0.169484 -4.298866 0.339403 0.168956 0.000000 0.000000 0.000000 -4.147526 0.340105 0.238484 -4.297348 0.339372 0.169867 0.000000 0.000000 0.000000
9.300000 -4.141484 0.292150 0.197607 -4.143084 0.292206 0.197720 -4.143084 0.292282 0.195248 0.000000 0.000000 0.000000 -3.961304 0.294199 0.207841 -4.141484 0.292415 0.195241 0.000000 0.000000 0.000000 -4.110500 0.290973 0.209818 -4.112176 0.290728 0.209910 -4.112176 0.293465 0.207113 0.000000 0.000000 0.000000 -3.935694 0.298883 0.227564 -4.110500 0.293569 0.207242 0.000000 0.000000 0.000000
9.500000 -3.826081 0.257422 0.178121 -3.829656 0.257536 0.178262 -3.829656 0.262182 0.175381 0.000000 0.000000 0.000000 -3.617494 0.261962 0.180596 -3.826081 0.262458 0.175635 0.000000 0.000000 0.000000 -3.793137 0.253703 0.194655 -3.796783 0.253752 0.194370 -3.796783 0.253752 0.194370 0.000000 0.000000 0.000000 -3.577511 0.261247 0.209641 -3.793137 0.253703 0.194655 0.000000 0.000000 0.000000
9.700000 -3.403162 0.229316 0.158221 -3.406868 0.229781 0.157880 -3.406868 0.229781 0.157880 0.000000 0.000000 0.000000 -3.277628 0.232314 0.168768 -3.403162 0.229316 0.158221 0.000000 0.000000 0.000000 -3.372335 0.229765 0.170986 -3.375830 0.229657 0.169677 -3.375830 0.230601 0.169677 0.000000 0.000000 0.000000 -3.241631 0.223730 0.186790 -3.372335 0.230278 0.170986 0.000000 0.000000 0.000000
9.900000 -3.130916 0.211321 0.134806 -3.135953 0.210983 0.134127 -3.135953 0.210983 0.134127 0.000000 0.000000 0.000000 -3.026897 0.196277 0.151980 -3.130916 0.211321 0.134806 0.000000 0.000000 0.000000 -3.098585 0.199354 0.160752 -3.103033 0.199952 0.159871 -3.103033 0.201676 0.159871 0.000000 0.000000 0.000000 -2.999032 0.181143 0.171956 -3.098585 0.200909 0.160752 0.000000 0.000000 0.000000
10.100000 -2.970207 0.178742 0.123378 -2.978009 0.179400 0.124914 -2.978009 0.183528 0.124914 0.000000 0.000000 0.000000 -2.863743 0.167610 0.133308 -2.970207 0.182429 0.123378 0.000000 0.000000 0.000000 -2.938317 0.171240 0.150386 -2.945303 0.172148 0.150826 -2.945303 0.178912 0.150826 0.000000 0.000000 0.000000 -2.835849 0.158954 0.155016 -2.938317 0.175341 0.150386 0.000000 0.000000 0.000000
10.300000 -2.835801 0.146916 0.110207 -2.842119 0.150431 0.110419 -2.842119 0.153178 0.110419 0.000000 0.000000 0.000000 -2.762449 0.135366 0.119211 -2.835801 0.150461 0.110207 0.000000 0.000000 0.000000 -2.804446 0.149225 0.144132 -2.810501 0.151352 0.144314 -2.810501 0.153754 0.144314 0.000000 0.000000 0.000000 -2.729181 0.142196 0.146389 -2.804446 0.152605 0.144132 0.000000 0.000000 0.000000
10.500000 -2.707009 0.119003 0.088341 -2.709381 0.119223 0.089519 -2.709381 0.122496 0.089519 0.000000 0.000000 0.000000 -2.675497 0.113586 0.096619 -2.707009 0.120054 0.088341 0.000000 0.000000 0.000000 -2.675624 0.132916 0.126981 -2.678256 0.131904 0.126329 -2.678256 0.134182 0.121395 0.000000 0.000000 0.000000 -2.640616 0.124708 0.132284 -2.675624 0.133104 0.121497 0.000000 0.000000 0.000000
10.700000 -2.567946 0.093604 0.088631 -2.569336 0.094504 0.087579 -2.569336 0.098699 0.083993 0.000000 0.000000 0.000000 -2.553246 0.094410 0.094677 -2.567946 0.098295 0.083697 0.000000 0.000000 0.000000 -2.539420 0.092955 0.107718 -2.540873 0.092751 0.107666 -2.540873 0.096664 0.107666 0.000000 0.000000 0.000000 -2.516489 0.085411 0.109796 -2.539420 0.094652 0.107718 0.000000 0.000000 0.000000
10.900000 -2.429361 0.087067 0.118737 -2.430316 0.086687 0.118785 -2.430316 0.087120 0.109645 0.000000 0.000000 0.000000 -2.412024 0.079289 0.119521 -2.429361 0.087173 0.109760 0.000000 0.000000 0.000000 -2.398813 0.081539 0.123804 -2.397837 0.081643 0.123541 -2.397837 0.081643 0.123541 0.000000 0.000000 0.000000 -2.416237 0.079093 0.119379 -2.398813 0.081539 0.123804 0.000000 0.000000 0.000000
