#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
9.100000 -4.494819 0.000211 0.000095 -4.494821 0.000209 0.000094 -4.494821 0.000209 0.000094 0.000000 0.000000 0.000000 -4.494672 0.000389 0.000162 -4.494819 0.000211 0.000095 0.000000 0.000000 0.000000 -4.494896 0.000159 0.000058 -4.494897 0.000157 0.000058 -4.494897 0.000157 0.000058 0.000000 0.000000 0.000000 -4.494787 0.000318 0.000124 -4.494896 0.000159 0.000059 0.000000 0.000000 0.000000
9.300000 -4.494380 0.000548 0.000269 -4.494391 0.000541 0.000266 -4.494391 0.000541 0.000266 0.000000 0.000000 2.710000 -4.493695 0.001093 0.000522 -4.494380 0.000548 0.000269 0.000000 0.000000 2.710000 -4.494541 0.000521 0.000218 -4.494552 0.000512 0.000213 -4.494552 0.000512 0.000213 0.000000 0.000000 0.000000 -4.493908 0.001116 0.000506 -4.494541 0.000521 0.000218 0.000000 0.000000 0.000000
9.500000 -4.492327 0.037236 0.000946 -4.492459 0.031628 0.000910 -4.492459 0.031625 0.000915 0.000000 0.000000 2.675000 -4.379848 0.143951 0.073964 -4.492327 0.037232 0.000950 0.000000 0.000000 2.638564 -4.492427 0.038598 0.001038 -4.492579 0.033542 0.000988 -4.492579 0.033541 0.000988 0.000000 0.000000 2.945000 -4.365566 0.155096 0.080810 -4.492427 0.038597 0.001037 0.000000 0.000000 2.871803
9.700000 -4.178554 0.175889 0.126766 -4.202999 0.175492 0.120656 -4.203005 0.175496 0.120655 -2.187370 0.062330 0.234023 -3.902499 0.184881 0.122609 -4.178562 0.175889 0.126952 -2.184383 0.054570 0.230713 -4.159311 0.172609 0.139716 -4.183823 0.173818 0.135131 -4.183822 0.173817 0.134997 0.000000 0.000000 2.715596 -3.876631 0.170587 0.123338 -4.159310 0.172604 0.139436 0.000000 0.000000 2.665512
9.900000 -3.730192 0.167040 0.102110 -3.751639 0.164818 0.102683 -3.751654 0.164803 0.102690 -2.139495 0.094604 0.211169 -3.559175 0.175448 0.100101 -3.730208 0.167025 0.102118 -2.115469 0.082257 0.237523 -3.705568 0.153979 0.110840 -3.727016 0.153158 0.113141 -3.727018 0.153158 0.115095 0.000000 0.000000 2.615000 -3.528656 0.147835 0.089329 -3.705570 0.153979 0.110864 0.000000 0.000000 2.595000
10.100000 -3.483583 0.155854 0.087666 -3.505366 0.148655 0.088008 -3.505374 0.148626 0.087964 -2.074499 0.143984 0.204151 -3.342719 0.163728 0.077920 -3.483591 0.155861 0.090099 -2.042959 0.095990 0.171941 -3.458372 0.133403 0.083262 -3.479233 0.133793 0.090894 -3.479234 0.133792 0.090898 0.000000 0.000000 2.447027 -3.317604 0.135465 0.066168 -3.458372 0.133328 0.083266 0.000000 0.000000 2.495000
10.300000 -3.302750 0.136572 0.077600 -3.340687 0.131770 0.082885 -3.340690 0.131758 0.082648 0.000000 0.000000 2.014111 -3.121078 0.144727 0.057682 -3.302755 0.136559 0.077611 -1.860000 1.860000 0.727665 -3.279843 0.117992 0.067874 -3.313367 0.115242 0.076329 -3.313367 0.115241 0.075211 0.000000 0.000000 0.000000 -3.099285 0.123631 0.049854 -3.279843 0.117731 0.067876 0.000000 0.000000 2.738840
10.500000 -3.156508 0.118029 0.069177 -3.196392 0.114977 0.074996 -3.196393 0.114976 0.074995 0.000000 0.000000 0.000000 -3.002481 0.121500 0.057788 -3.156511 0.118029 0.069268 0.000000 0.000000 2.807949 -3.133590 0.098472 0.059517 -3.169085 0.096262 0.070890 -3.169085 0.096262 0.070869 0.000000 0.000000 0.000000 -2.977753 0.098867 0.048691 -3.133590 0.098472 0.060360 0.000000 0.000000 2.827657
10.700000 -3.018181 0.099048 0.065826 -3.052756 0.096163 0.070576 -3.052756 0.096161 0.070307 0.000000 0.000000 2.903794 -2.863871 0.099267 0.053854 -3.018190 0.099057 0.065817 -2.604241 2.604241 0.115108 -2.995296 0.079756 0.055470 -3.025676 0.078079 0.061818 -3.025676 0.078079 0.061131 0.000000 0.000000 2.931403 -2.838899 0.082093 0.046242 -2.995301 0.079760 0.055473 -2.625037 2.625037 0.082686
10.900000 -2.874900 0.073969 0.059019 -2.905355 0.071320 0.058128 -2.905356 0.071319 0.058111 0.000000 0.000000 2.816252 -2.719896 0.074461 0.050034 -2.874917 0.073984 0.060288 -2.693011 2.693011 -0.015535 -2.854127 0.066122 0.054173 -2.880332 0.063818 0.057441 -2.880325 0.065138 0.056942 0.000000 0.000000 2.836454 -2.700908 0.066802 0.048048 -2.854131 0.066125 0.053401 -2.659083 2.659083 0.017565
11.100000 -2.733386 0.053326 0.048605 -2.761135 0.051429 0.052404 -2.761103 0.051397 0.052434 -2.830000 2.830000 0.010000 -2.577936 0.050388 0.050388 -2.733417 0.053357 0.048574 -2.640140 2.640140 -0.003749 -2.709986 0.056559 0.060009 -2.734318 0.055808 0.061641 -2.734299 0.055789 0.060898 -2.730000 2.730000 0.074115 -2.556525 0.049515 0.060969 -2.710041 0.056613 0.057864 -2.531182 2.531182 0.062095
11.300000 -2.584957 0.039609 0.046446 -2.608307 0.039367 0.048818 -2.608191 0.039324 0.048928 -2.681000 2.681000 0.001942 -2.428137 0.038081 0.050303 -2.585078 0.039730 0.046876 -2.487701 2.487701 0.016450 -2.563934 0.041636 0.073734 -2.583306 0.040264 0.072861 -2.583221 0.041691 0.071168 -2.653975 2.653975 0.013760 -2.415560 0.033906 0.071570 -2.563995 0.041548 0.070500 -2.505278 2.505278 0.004336
11.500000 -2.436872 0.024542 0.052134 -2.454961 0.025429 0.052978 -2.454945 0.025413 0.049993 -2.460287 2.460287 0.024720 -2.306700 0.025165 0.054619 -2.437244 0.024878 0.048126 -2.371478 2.371478 0.015082 -2.414549 0.030436 0.073504 -2.429109 0.030697 0.072872 -2.428853 0.034775 0.073016 -2.546982 2.546982 -0.015122 -2.278806 0.029344 0.082003 -2.414619 0.037188 0.073434 -2.394364 2.394364 0.020388
11.700000 -2.281614 0.017523 0.055550 -2.294237 0.017188 0.055893 -2.293782 0.016733 0.053998 -2.342249 2.342249 0.018470 -2.160355 0.013036 0.068069 -2.281889 0.017869 0.053048 -2.255632 2.255632 0.034673 -2.265592 0.025493 0.082509 -2.277232 0.025740 0.083842 -2.276044 0.024790 0.085030 -2.384495 2.384495 0.016665 -2.144603 0.018530 0.091565 -2.264945 0.024530 0.082820 -2.318776 2.318776 0.010983
11.900000 -2.124919 0.011345 0.059705 -2.133579 0.011493 0.060599 -2.130212 0.009722 0.058717 -2.234630 2.234630 0.022332 -2.027458 0.009931 0.069583 -2.121792 0.010746 0.057426 -2.213716 2.213716 0.009877 -2.110014 0.025423 0.096686 -2.119624 0.024795 0.096997 -2.116024 0.024609 0.100280 -2.226175 2.226175 0.066281 -1.993201 0.020668 0.099760 -2.107322 0.024033 0.099538 -2.163285 2.163285 0.044257
