#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
9.100000 -4.493929 0.001261 0.000463 -4.493938 0.001253 0.000459 -4.493938 0.001253 0.000461 0.000000 0.000000 0.000000 -4.492977 0.010718 0.000886 -4.493929 0.001261 0.000464 0.000000 0.000000 0.000000 -4.494115 0.001153 0.000422 -4.494123 0.001145 0.000419 -4.494123 0.001145 0.000421 0.000000 0.000000 0.000000 -4.493142 0.007081 0.000799 -4.494115 0.001153 0.000424 0.000000 0.000000 0.000000
9.300000 -4.492568 0.028176 0.000915 -4.492597 0.026188 0.000906 -4.492597 0.026188 0.000907 0.000000 0.000000 0.000000 -4.440890 0.189827 0.050833 -4.492568 0.028176 0.000916 0.000000 0.000000 0.000000 -4.492664 0.025777 0.000896 -4.492697 0.024198 0.000886 -4.492697 0.024198 0.000886 0.000000 0.000000 0.000000 -4.430149 0.179041 0.053874 -4.492664 0.025777 0.000896 0.000000 0.000000 0.000000
9.500000 -4.377917 0.222352 0.082189 -4.388026 0.219959 0.076163 -4.388026 0.219958 0.076162 0.000000 0.000000 2.137452 -4.051444 0.229103 0.148543 -4.377918 0.222352 0.082170 0.000000 0.000000 2.148586 -4.359455 0.201733 0.086343 -4.369237 0.199369 0.083462 -4.369237 0.199369 0.080692 0.000000 0.000000 0.000000 -4.020943 0.198350 0.136076 -4.359455 0.201733 0.083370 0.000000 0.000000 0.000000
9.700000 -3.902106 0.216716 0.129738 -3.919833 0.217753 0.130613 -3.919835 0.217754 0.130616 0.000000 0.000000 2.215000 -3.643165 0.204232 0.114651 -3.902107 0.216717 0.129743 -2.090000 2.090000 0.105000 -3.878894 0.177875 0.110739 -3.896297 0.178102 0.111690 -3.896297 0.178102 0.106730 0.000000 0.000000 0.000000 -3.610884 0.182041 0.117963 -3.878895 0.177876 0.108478 0.000000 0.000000 0.000000
9.900000 -3.515934 0.189960 0.098582 -3.531074 0.188907 0.098816 -3.531078 0.188906 0.098817 -1.915000 0.232500 0.154273 -3.365243 0.190160 0.101355 -3.515938 0.189938 0.098583 -1.915000 0.249919 0.125000 -3.488427 0.164086 0.081909 -3.503091 0.165450 0.081425 -3.503091 0.165450 0.079055 0.000000 0.000000 0.000000 -3.335924 0.158634 0.090717 -3.488427 0.164086 0.078171 0.000000 0.000000 0.000000
10.100000 -3.313016 0.177831 0.090714 -3.333081 0.174064 0.089597 -3.333084 0.174059 0.089597 0.000000 0.000000 1.830000 -3.155281 0.176157 0.077208 -3.313020 0.177822 0.090712 0.000000 0.000000 1.854138 -3.288156 0.149140 0.072563 -3.306239 0.148942 0.068504 -3.306239 0.148942 0.063774 0.000000 0.000000 0.000000 -3.130475 0.149322 0.063495 -3.288157 0.149141 0.068658 0.000000 0.000000 0.000000
10.300000 -3.156517 0.156422 0.074586 -3.189896 0.154236 0.082539 -3.189896 0.154234 0.079990 0.000000 0.000000 0.000000 -2.984339 0.156031 0.070117 -3.156518 0.156422 0.074589 0.000000 0.000000 2.788129 -3.131633 0.129343 0.058480 -3.161434 0.128443 0.059119 -3.161434 0.128443 0.056693 0.000000 0.000000 0.000000 -2.955244 0.125205 0.064149 -3.131633 0.129343 0.057379 0.000000 0.000000 2.779986
10.500000 -3.027876 0.136264 0.068942 -3.054639 0.136245 0.070434 -3.054639 0.136245 0.067753 0.000000 0.000000 0.000000 -2.887371 0.134339 0.062267 -3.027876 0.136264 0.068556 0.000000 0.000000 2.754639 -3.002999 0.105115 0.051391 -3.026938 0.104499 0.052779 -3.026938 0.104499 0.052425 0.000000 0.000000 0.000000 -2.862792 0.104633 0.056496 -3.002999 0.105115 0.051404 0.000000 0.000000 2.738755
10.700000 -2.894707 0.117404 0.062794 -2.917009 0.117208 0.062609 -2.917009 0.117208 0.062136 0.000000 0.000000 0.000000 -2.755705 0.109840 0.062868 -2.894708 0.117405 0.061183 0.000000 0.000000 2.498897 -2.871094 0.092874 0.047365 -2.890223 0.089633 0.049799 -2.890223 0.089633 0.049799 0.000000 0.000000 0.000000 -2.734018 0.086402 0.050601 -2.871095 0.092875 0.047364 0.000000 0.000000 2.552016
10.900000 -2.756925 0.093130 0.057623 -2.775944 0.093234 0.058530 -2.775944 0.093234 0.057786 0.000000 0.000000 0.000000 -2.620774 0.084251 0.055717 -2.756928 0.093133 0.056411 0.000000 0.000000 2.596367 -2.734036 0.074095 0.048738 -2.750451 0.073514 0.050131 -2.750451 0.073514 0.050161 0.000000 0.000000 0.000000 -2.603508 0.068679 0.050202 -2.734033 0.074092 0.048736 0.000000 0.000000 2.598469
11.100000 -2.620676 0.067839 0.049809 -2.636485 0.068379 0.050912 -2.636478 0.068372 0.050668 0.000000 0.000000 2.585000 -2.497704 0.063022 0.049983 -2.620684 0.067847 0.049801 0.000000 0.000000 2.469369 -2.600945 0.053683 0.058635 -2.615081 0.052763 0.059176 -2.615078 0.054060 0.059180 0.000000 0.000000 2.647744 -2.478086 0.052964 0.055484 -2.600953 0.053792 0.058627 0.000000 0.000000 2.526417
11.300000 -2.484496 0.049658 0.052382 -2.495484 0.050445 0.052104 -2.495447 0.050498 0.051045 0.000000 0.000000 2.487072 -2.372359 0.043165 0.056120 -2.484488 0.049651 0.052437 -2.150000 2.150000 0.252404 -2.463230 0.044819 0.064839 -2.473766 0.044463 0.065135 -2.473723 0.044737 0.064255 0.000000 0.000000 2.523797 -2.351440 0.045093 0.067224 -2.463232 0.045271 0.062895 -2.295000 2.295000 0.117034
11.500000 -2.344889 0.036535 0.057530 -2.354264 0.036404 0.057178 -2.354257 0.036572 0.047259 -2.117120 2.117120 0.318808 -2.232867 0.037157 0.060825 -2.344838 0.036484 0.047586 -2.214371 2.214371 0.177471 -2.322676 0.036850 0.077716 -2.331278 0.035812 0.077593 -2.331159 0.037533 0.071351 -2.427830 2.427830 -0.010278 -2.215813 0.031184 0.084983 -2.322577 0.037150 0.070840 -2.363035 2.363035 0.045398
11.700000 -2.207351 0.020510 0.065507 -2.211554 0.020644 0.065717 -2.210699 0.020526 0.058452 -2.427298 2.427298 -0.067825 -2.145745 0.019246 0.067363 -2.206673 0.020306 0.058608 -2.414398 2.414398 -0.084827 -2.189846 0.024409 0.090665 -2.193570 0.024091 0.090560 -2.192662 0.032409 0.090466 -2.381268 2.381268 -0.031675 -2.135125 0.022390 0.093170 -2.189111 0.031767 0.090458 -2.304886 2.304886 0.000334
11.900000 -2.078169 0.012624 0.080249 -2.080607 0.013108 0.077857 -2.077541 0.013184 0.078472 -2.183937 2.183937 0.019264 -2.043650 0.005412 0.089202 -2.077157 0.013710 0.078246 -2.122685 2.122685 0.053646 -2.051376 0.014127 0.107980 -2.053703 0.013887 0.108142 -2.051348 0.020957 0.110497 -2.201618 2.201618 -0.004126 -2.013490 0.014850 0.110699 -2.049614 0.020831 0.109742 -2.123364 2.123364 0.038834
12.100000 -1.931973 0.000160 0.096221 -1.931494 -0.000644 0.097590 -1.930085 0.002712 0.092345 -1.934592 1.934592 0.095062 -1.929544 0.011249 0.089375 -1.928657 0.001845 0.093686 -1.967508 1.967508 0.063454 -1.906774 0.011725 0.129485 -1.908182 0.011759 0.129249 -1.903582 0.015745 0.133848 -1.973564 1.973564 0.090602 -1.891468 0.018842 0.129661 -1.899541 0.013043 0.136719 -1.996405 1.996405 0.075930
12.300000 -1.828132 -0.008530 0.102551 -1.823999 -0.005868 0.104521 -1.809688 0.012426 0.110200 -2.058922 2.058922 -0.003580 -2.015116 0.009346 0.083098 -1.810812 0.009231 0.110167 -2.058296 2.058296 0.005526 -1.804107 0.004568 0.130375 -1.801031 0.002198 0.132389 -1.790641 0.018466 0.140903 -1.910799 1.910799 0.082133 -1.860576 0.014341 0.130051 -1.792103 0.019203 0.139302 -1.907335 1.907335 0.087938
12.500000 -1.863359 0.033137 0.088024 -1.846604 0.028242 0.099833 -1.814357 0.029746 0.119474 -1.972736 1.972736 0.063915 -1.785000 0.010000 0.170000 -1.825460 0.031359 0.111800 -1.977871 1.977871 0.063083 -1.816029 0.031432 0.123348 -1.813698 0.030801 0.124754 -1.783545 0.039472 0.126178 -1.949013 1.949013 0.087680 -1.595000 0.020000 0.180000 -1.781963 0.043308 0.128539 -1.954524 1.954524 0.086563
12.700000 -1.978795 0.162091 0.083696 -1.978795 0.162091 0.083696 -1.995790 0.238470 0.038968 -1.806928 1.806928 0.155942 0.000000 0.000000 0.000000 -1.995790 0.238470 0.038968 -1.806928 1.806928 0.155942 -1.994344 0.153267 0.103872 -1.994344 0.153267 0.103872 -1.941167 0.173786 0.095209 -1.974498 1.974498 0.100199 0.000000 0.000000 0.000000 -1.941167 0.173786 0.095209 -1.974498 1.974498 0.100199
12.900000 -2.555000 0.330000 0.100000 -2.555000 0.330000 0.100000 0.000000 0.000000 2.465000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.465000 0.000000 0.000000 0.000000 -2.245000 0.250000 0.060000 -2.245000 0.250000 0.060000 0.000000 0.000000 2.135000 0.000000 0.000000 2.180000 0.000000 0.000000 0.000000 0.000000 0.000000 2.135000 0.000000 0.000000 2.180000
13.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
